Unique Response ID,Representative Name,"On a scale from 0-10, how likely are you to recommend this representative to a friend or colleague? - Group","On a scale from 0-10, how likely are you to recommend this representative to a friend or colleague?",How satisfied are you with the resolution to your issue?,Was your issue resolved?,Rewards member ID,Case #
R_ai3e3xu7D5hqfo9,Victoria,Detractor,2,Neither satisfied nor dissatisfied,Yes,45628,10001
R_3Q22sNSx57siDWZ,Carter,Passive,8,Slightly dissatisfied,No,71223,10002
R_8iDPDudwPx4gk5f,Nora,Passive,7,Slightly dissatisfied,Yes,52180,10003
R_bO68iZI8wBV7mst,Willow,Detractor,3,Slightly dissatisfied,Yes,93084,10004
R_8IV5qiA5GFeCb53,Hudson,Detractor,2,Neither satisfied nor dissatisfied,Uncertain,83943,10005
R_3EEeeIWKRCQMutT,Carter,Detractor,2,Extremely satisfied,Uncertain,48771,10006
R_1H0Y3QlyalrUjo9,Luke,Detractor,5,Extremely satisfied,No,72465,10007
R_246ivxb0WqrXxXf,Thomas,Detractor,3,Slightly dissatisfied,No,32634,10008
R_6AxX481FsBRc8RL,John,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,20012,10009
R_6hbw2i9k8kOf8jj,Luke,Detractor,5,Slightly satisfied,Uncertain,18793,10010
R_8JorLDTbETJtjFP,Lillian,Detractor,0,Extremely dissatisfied,No,48090,10011
R_eKzhMOwOAe0jR1X,Ezra,Detractor,3,Extremely dissatisfied,Uncertain,85701,10012
R_6u3HY3TG4F3jyNn,Hudson,Promoter,9,Neither satisfied nor dissatisfied,Yes,45779,10013
R_3xWPWdSujTS8ZBb,Jaxon,Detractor,2,Slightly satisfied,Uncertain,41711,10014
R_6lk9twgbqNsXksl,Riley,Promoter,9,Extremely dissatisfied,No,53044,10015
R_6qZmta7WTRdmli5,Grayson,Passive,7,Slightly satisfied,No,78107,10016
R_dgHTkcLB5eAUDAx,John,Detractor,6,Neither satisfied nor dissatisfied,Yes,27193,10017
R_87JvOTCBwQyvJpb,Violet,Detractor,4,Extremely dissatisfied,Yes,21259,10018
R_8GFOU8kTDBAfA8d,Jayden,Detractor,1,Extremely satisfied,No,72902,10019
R_e5UYyb9nU29ugwl,Ezra,Detractor,1,Extremely dissatisfied,No,20572,10020
R_exHO7r2IV6vn70x,Lucy,Detractor,5,Slightly dissatisfied,No,69703,10021
R_7QB83z3MKnJPSOF,Levi,Detractor,4,Neither satisfied nor dissatisfied,Uncertain,79064,10022
R_bw5nBrNUuOvrbLf,Asher,Detractor,5,Slightly satisfied,Uncertain,88662,10023
R_b9nXSw5v9NjvrYF,Natalie,Detractor,3,Slightly dissatisfied,Yes,54935,10024
R_3mkbG349wQQrw0d,John,Detractor,6,Slightly satisfied,Uncertain,31544,10025
R_cBiUEgmYXQowrAh,Levi,Promoter,9,Neither satisfied nor dissatisfied,No,55456,10026
R_0uNrJD8Bhyt9kaN,Ezra,Passive,8,Slightly dissatisfied,Uncertain,63891,10027
R_1XJ4Jvea27VEBqB,Aurora,Detractor,2,Slightly satisfied,Yes,94461,10028
R_3Ob8c5gdEEBpLhj,Zoey,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,21150,10029
R_e9yrkRp1b6pKOTX,Aubrey,Detractor,6,Extremely satisfied,Yes,25537,10030
R_8hJuYkTXg6afI1v,Audrey,Detractor,4,Neither satisfied nor dissatisfied,Uncertain,55886,10031
R_9HRBxm12kXUKZlX,Madison,Detractor,0,Slightly satisfied,Uncertain,85465,10032
R_elJrNvZd4D55fF3,Wyatt,Detractor,1,Extremely dissatisfied,Uncertain,86152,10033
R_7VEzxeELjBATOoR,Ezra,Detractor,3,Slightly satisfied,Yes,79675,10034
R_6sexIfHRhKSAbHv,Julian,Detractor,1,Extremely dissatisfied,Yes,72065,10035
R_etyauSf1bhlXDUN,Wyatt,Detractor,4,Extremely dissatisfied,No,25608,10036
R_6txH7PB9HTvdHGR,Violet,Detractor,4,Neither satisfied nor dissatisfied,Yes,20385,10037
R_26nswxzVk31dcsR,Everly,Detractor,3,Neither satisfied nor dissatisfied,No,19298,10038
R_enZ1iadFEMZckId,Hudson,Detractor,3,Slightly dissatisfied,Uncertain,22310,10039
R_8lcFV2h3aK8Bjtb,Anthony,Promoter,9,Neither satisfied nor dissatisfied,Uncertain,85212,10040
R_0CZrVsdtEvSnTAp,Hazel,Promoter,10,Slightly dissatisfied,No,31138,10041
R_0cz68vV9uvHXO0R,Emilia,Promoter,9,Extremely satisfied,Uncertain,32880,10042
R_7ajXvM1kzcbqxud,Natalie,Passive,7,Slightly dissatisfied,Yes,40137,10043
R_b3nNd4ggoYhqqwd,Victoria,Detractor,2,Extremely satisfied,Uncertain,69683,10044
R_cU8KrNyvev9qkjH,Grace,Detractor,1,Neither satisfied nor dissatisfied,No,72674,10045
R_1MvHaQyKMpnNhkh,Nora,Detractor,1,Extremely satisfied,Uncertain,34461,10046
R_8v5ZpMAbf5Cshzn,Josiah,Detractor,0,Slightly satisfied,Yes,30810,10047
R_2h3QHJE1OSChRt3,Victoria,Detractor,0,Slightly satisfied,Uncertain,59726,10048
R_aaZgt7syXvJZujr,Riley,Detractor,6,Extremely satisfied,Uncertain,85242,10049
R_0HwcMDphLp3Chvf,Dylan,Detractor,5,Extremely satisfied,Yes,98945,10050
R_eJpKg2o87hTCFuJ,Audrey,Promoter,10,Slightly dissatisfied,Yes,37175,10051
R_aazt0mR0fA78Unj,Madison,Detractor,3,Neither satisfied nor dissatisfied,No,99182,10052
R_e2tyWhtBF42wGZD,Leah,Detractor,5,Slightly satisfied,Uncertain,46310,10053
R_08wvYOt7PWxNMvH,Aubrey,Detractor,3,Neither satisfied nor dissatisfied,No,57822,10054
R_1B3VaBKepvbF5pb,Bell,Detractor,1,Neither satisfied nor dissatisfied,Yes,61277,10055
R_8e79VzVz1rS3Vid,Addison,Detractor,1,Extremely satisfied,No,90266,10056
R_eFY7j3oFQCCc2BT,Lincoln,Detractor,5,Slightly dissatisfied,No,44702,10057
R_5nEXj48StvrwMSh,Christopher,Promoter,9,Neither satisfied nor dissatisfied,Uncertain,99620,10058
R_805muWNyjgSketT,Emilia,Detractor,2,Extremely satisfied,No,57965,10059
R_0PaoANI9CFoW7Gt,Carter,Detractor,0,Extremely dissatisfied,No,68303,10060
R_6m7qS85NFgtIPwV,Grayson,Promoter,9,Slightly satisfied,Uncertain,55017,10061
R_bwTbH4wXNkBC8eh,Aubrey,Promoter,9,Extremely satisfied,Yes,61030,10062
R_2os0K94brs5fcWx,Zoey,Promoter,10,Slightly dissatisfied,No,25449,10063
R_cGdEzuZVfqIkxyl,Madison,Passive,7,Slightly dissatisfied,No,72037,10064
R_6QjVqevWqwVWvSB,Lincoln,Detractor,0,Slightly satisfied,No,73448,10065
R_bfNZ1a6nGCHcUv3,Christopher,Detractor,3,Slightly dissatisfied,Yes,13506,10066
R_e3Y4f2yKObcB6O9,Lucy,Detractor,1,Extremely satisfied,Uncertain,97092,10067
R_1BNOYfPJ3aO7Rlz,Anthony,Detractor,4,Slightly satisfied,Uncertain,17104,10068
R_8BtYW212ftrMXA1,Eleanor,Detractor,6,Neither satisfied nor dissatisfied,No,29371,10069
R_9EW5L1fCyo5aSHP,Addison,Promoter,9,Extremely satisfied,No,87232,10070
R_4SH9sj8kcVwWSoZ,Nora,Passive,8,Extremely dissatisfied,Yes,32787,10071
R_1H8Jgx2GIC9Ln13,Josiah,Detractor,0,Slightly dissatisfied,Uncertain,62436,10072
R_3xeEvo5fpm0Vmqp,Zoe,Promoter,10,Slightly dissatisfied,Uncertain,67439,10073
R_7POywiUJwovIBhP,Hudson,Detractor,3,Slightly dissatisfied,Yes,77307,10074
R_doMF7vmZ5UZkKSV,Aurora,Detractor,4,Extremely dissatisfied,No,24169,10075
R_5yYISZLQiDVI8Fn,Leah,Detractor,2,Extremely dissatisfied,Yes,19335,10076
R_1HQaZ9RACRDuGAR,Thomas,Passive,8,Slightly satisfied,Yes,92007,10077
R_6ihtUuaqoaAaCYB,Zoe,Detractor,4,Slightly dissatisfied,Uncertain,48423,10078
R_emxJu94fQoNnEah,Aurora,Promoter,9,Extremely dissatisfied,No,57613,10079
R_247XARUPrdQFeFT,Eleanor,Detractor,4,Extremely satisfied,Uncertain,71955,10080
R_82hvMbr0HLuheHr,Andrew,Detractor,4,Neither satisfied nor dissatisfied,No,85142,10081
R_bkjtIWY2pdNy6SF,Grayson,Detractor,4,Extremely satisfied,Uncertain,65348,10082
R_79WDcIpIW1zZiND,Madison,Promoter,9,Slightly satisfied,No,16538,10083
R_5bzBNqVvDQ1i6aN,Eleanor,Passive,8,Slightly satisfied,Uncertain,69418,10084
R_56zWSgEegJsj2L3,Grace,Promoter,10,Slightly dissatisfied,No,18758,10085
R_5Bz4TD6mQAlzNPv,Andrew,Detractor,6,Extremely dissatisfied,Uncertain,91865,10086
R_b8fwrHJ66vfEb1X,Addison,Detractor,4,Slightly dissatisfied,No,31036,10087
R_0ji9lKixVfwrZZP,Anthony,Detractor,0,Extremely dissatisfied,Yes,17366,10088
R_cLLzW395F3zqEzr,Jayden,Passive,8,Extremely dissatisfied,No,29372,10089
R_3dFoE2yPEMZlR1X,Asher,Detractor,6,Extremely dissatisfied,Yes,48687,10090
R_8vIGw0qKvjYFIyN,Josiah,Passive,7,Extremely satisfied,No,35594,10091
R_eam5kSPf3IIpcJD,Leo,Promoter,9,Neither satisfied nor dissatisfied,No,62431,10092
R_7V3MFvoJZ2uvPjD,Josiah,Detractor,1,Neither satisfied nor dissatisfied,Uncertain,41009,10093
R_3Jk7RSmyzqy2Qvj,Willow,Detractor,0,Slightly dissatisfied,Yes,57413,10094
R_5ncpgwroqbanXNz,Natalie,Promoter,10,Neither satisfied nor dissatisfied,Uncertain,11470,10095
R_0iYXZBmeioRGNjn,Leah,Detractor,4,Slightly satisfied,Yes,41554,10096
R_bQlUnjs9piFD2Bv,Audrey,Passive,7,Slightly dissatisfied,Yes,54568,10097
R_6QKE1Qp9L97GqhL,Ellie,Detractor,5,Extremely satisfied,No,56110,10098
R_23tqUpUcuI8yhy5,Violet,Detractor,0,Slightly satisfied,No,18780,10099
R_cOzg567V22mnSfj,Asher,Detractor,4,Neither satisfied nor dissatisfied,Yes,98959,10100
R_8dnqIBiaw8ketrD,Hazel,Detractor,3,Neither satisfied nor dissatisfied,Yes,90729,10101
R_da0GclSNdSZjcY5,Zoe,Detractor,2,Extremely dissatisfied,No,68370,10102
R_6rufoxkLdmCCy9f,David,Detractor,1,Extremely dissatisfied,No,27994,10103
R_1YwWsXWSi4XB2GV,Audrey,Detractor,5,Slightly satisfied,No,49431,10104
R_cHiQh31Zi4LYeK9,Eleanor,Detractor,3,Neither satisfied nor dissatisfied,No,88503,10105
R_6MAO81LWNxd3mrX,Leo,Passive,7,Slightly satisfied,Yes,69443,10106
R_6tn0vGVsnIB6Qbr,Gabriel,Promoter,10,Slightly dissatisfied,Yes,42866,10107
R_9nvFuONrVgOVejb,Everly,Detractor,2,Neither satisfied nor dissatisfied,No,99801,10108
R_0eqVGQKrks7mcsZ,Addison,Passive,7,Neither satisfied nor dissatisfied,Yes,23603,10109
R_4Git4e3kwfvYsuh,Hudson,Detractor,4,Neither satisfied nor dissatisfied,Yes,57165,10110
R_b8EiQAZ32ijB8oZ,Everly,Detractor,6,Extremely satisfied,Uncertain,58900,10111
R_06ttP5jVs3wDefP,Zoe,Detractor,6,Slightly satisfied,Yes,73772,10112
R_79xMuZlbUczUwgB,Madison,Detractor,3,Extremely satisfied,Uncertain,94220,10113
R_dcdO6HowuDH0IsJ,Levi,Detractor,6,Neither satisfied nor dissatisfied,No,32928,10114
R_eu2PfRYF0rAs8uh,Eleanor,Passive,7,Slightly satisfied,No,94130,10115
R_cMHMiHMyvMjvCPb,Ellie,Detractor,5,Extremely dissatisfied,Uncertain,60941,10116
R_6r2asVGTP4n4mr3,Bell,Detractor,4,Extremely satisfied,Uncertain,19540,10117
R_6wZcBpkHiYas9r7,Zoe,Promoter,10,Extremely dissatisfied,No,64825,10118
R_56lVh6Hc25Ctmdv,Willow,Detractor,2,Extremely satisfied,Yes,73399,10119
R_9smO99hOeKCELhX,Aubrey,Detractor,0,Slightly dissatisfied,Yes,81764,10120
R_25JJzmSljrnyTo9,Luke,Detractor,0,Extremely dissatisfied,Yes,76356,10121
R_0Mq9sgWYDLKopDv,Andrew,Passive,7,Extremely satisfied,Yes,45887,10122
R_3sh8aOoyc8dBGjb,Asher,Detractor,2,Extremely satisfied,Yes,98040,10123
R_74lb9XTUBC3c6LH,Bell,Detractor,3,Extremely satisfied,Uncertain,87431,10124
R_9uXFlY7VZn1ELv7,Thomas,Promoter,10,Neither satisfied nor dissatisfied,Uncertain,60088,10125
R_5APSMuksdcl1kHP,Aubrey,Detractor,5,Neither satisfied nor dissatisfied,Uncertain,32210,10126
R_3wtxmcScSBdIZI9,Everly,Passive,7,Extremely satisfied,Yes,66939,10127
R_29suemZ2byjJcTH,Lily,Promoter,10,Extremely dissatisfied,Uncertain,13862,10128
R_cSyvPRPvMv7F2Sh,Carter,Promoter,9,Extremely satisfied,No,90069,10129
R_bEMr6WXwDZdPXMh,Stella,Detractor,2,Extremely satisfied,Yes,45781,10130
R_dd4wdnSML4LrSEl,Jaxon,Detractor,1,Extremely satisfied,Yes,38929,10131
R_4URrzcFMddATCOp,Madison,Passive,8,Extremely dissatisfied,No,28944,10132
R_eFdlsm5bwRQGEmN,Jayden,Passive,7,Slightly satisfied,Uncertain,82438,10133
R_bmhQnAUtlqIRfpj,Julian,Detractor,1,Extremely dissatisfied,Uncertain,84668,10134
R_0jKkDLl9KRLOG6p,Jaxon,Detractor,3,Extremely dissatisfied,No,57024,10135
R_5aTeMMX3XZBV7Ux,Aurora,Detractor,3,Extremely dissatisfied,Uncertain,41470,10136
R_bJzi7rHzXnUkjL7,Riley,Detractor,2,Slightly dissatisfied,Yes,98943,10137
R_8e6TCispDWpXEvr,Hazel,Detractor,1,Extremely satisfied,Yes,21104,10138
R_etIwN9HpAbKfeC1,Zoe,Promoter,10,Extremely satisfied,No,80689,10139
R_7X8uER3q3Ascybz,Everly,Detractor,0,Neither satisfied nor dissatisfied,Yes,14779,10140
R_ah1UFjtNLLaFsMJ,John,Detractor,1,Neither satisfied nor dissatisfied,Uncertain,35473,10141
R_0AIEtdocJIcxRYx,Luke,Detractor,3,Extremely dissatisfied,Uncertain,14422,10142
R_3L5G1oyJmfZ5oQR,Lillian,Detractor,5,Extremely dissatisfied,No,99197,10143
R_3BLVwVD4WY6Trg1,Hannah,Promoter,10,Slightly satisfied,Yes,94160,10144
R_b4lLYrPra1YRAe9,Riley,Detractor,0,Neither satisfied nor dissatisfied,Yes,74905,10145
R_8oIj45ErAuanFQh,Madison,Detractor,1,Slightly dissatisfied,Uncertain,69345,10146
R_7NBvIxJpW2mmVvv,Bell,Promoter,9,Extremely satisfied,Yes,73730,10147
R_5hzyHkPcWOj9evj,Asher,Passive,7,Extremely satisfied,Yes,87951,10148
R_3agvHPaLzQvS4ol,David,Detractor,0,Extremely satisfied,Yes,89778,10149
R_b8FuA5JWdkarjFP,Lily,Detractor,1,Slightly satisfied,Yes,70201,10150
R_3z4lkuhkVcUWfWZ,Jayden,Promoter,10,Extremely satisfied,No,58869,10151
R_3UHvvQ27ASOEtRb,Ellie,Detractor,1,Extremely dissatisfied,Yes,48633,10152
R_a3rfzAjHsjLlJwp,Aurora,Detractor,4,Slightly satisfied,No,60089,10153
R_3WrJ5LDNNiXiIHX,Leo,Detractor,2,Extremely satisfied,Yes,73547,10154
R_ex2NhhkAATn36yF,Violet,Passive,7,Extremely dissatisfied,Yes,49612,10155
R_37uHsfWOzd0PDwh,Everly,Detractor,0,Extremely satisfied,Yes,65726,10156
R_egESOED7gJzaXdz,Lincoln,Passive,8,Extremely dissatisfied,Yes,86242,10157
R_cNHNWKJAEuhxxtz,Luke,Detractor,4,Neither satisfied nor dissatisfied,No,79149,10158
R_2mhBF6PX4SyvOGp,Julian,Detractor,3,Extremely satisfied,No,58777,10159
R_0ILx7jcqt8w3Rkx,Julian,Passive,7,Neither satisfied nor dissatisfied,No,17547,10160
R_cRWKmOoOp2CUfgV,Lillian,Detractor,0,Extremely satisfied,Yes,59653,10161
R_6le25EEdAYACFSJ,Natalie,Detractor,6,Slightly dissatisfied,Uncertain,98140,10162
R_efmtP9KZxkDXsDX,Jayden,Detractor,6,Slightly dissatisfied,Uncertain,57758,10163
R_3f9kTsU7LnctNJj,Audrey,Detractor,1,Slightly dissatisfied,Uncertain,10425,10164
R_cSnsVtanD1Q3vKd,Madison,Passive,7,Slightly dissatisfied,Uncertain,54239,10165
R_5ceLGmbd4IZ3tbv,Grace,Detractor,6,Extremely dissatisfied,Yes,85517,10166
R_7NAlCSOuJSqPAod,Andrew,Detractor,3,Extremely satisfied,Yes,73668,10167
R_3k0Eow8brUNUvEV,Emilia,Detractor,6,Slightly dissatisfied,No,59862,10168
R_b1tECfpSH84tLlb,Thomas,Detractor,3,Slightly satisfied,Uncertain,68804,10169
R_e5TIuxNIGuZHpOZ,John,Detractor,2,Extremely dissatisfied,Uncertain,51874,10170
R_3ZS6CJK6tEj8oGV,Grace,Detractor,3,Extremely dissatisfied,No,45586,10171
R_43ljFwn663UjMln,Dylan,Detractor,2,Slightly dissatisfied,Yes,73836,10172
R_8ByQ5eJHLQOfkWN,Jaxon,Promoter,9,Slightly dissatisfied,Uncertain,99847,10173
R_eEYxAv5GcIyIPkh,Wyatt,Detractor,1,Extremely dissatisfied,No,46951,10174
R_eX5HavwAf1pelAF,Lillian,Detractor,4,Slightly dissatisfied,Yes,93504,10175
R_cMa7mWt1N2zLPZH,Ezra,Detractor,1,Slightly satisfied,Uncertain,25132,10176
R_6mOlNZmkf7KSGy1,Hannah,Detractor,1,Slightly dissatisfied,Yes,13839,10177
R_8hN8JXWuEXVE7Nb,Grayson,Detractor,2,Neither satisfied nor dissatisfied,No,13380,10178
R_cTr9GoJVn0Zcdp3,Wyatt,Detractor,5,Extremely satisfied,No,87835,10179
R_2uGYXMYMhoa2wrr,Hazel,Passive,8,Slightly dissatisfied,Uncertain,75845,10180
R_bp9lJ23QWgtkZyl,Audrey,Detractor,3,Extremely satisfied,Uncertain,89036,10181
R_ddtsL9lBqjvUTyd,Everly,Detractor,3,Extremely dissatisfied,Uncertain,35190,10182
R_87wP8HSch9IJWrb,Lily,Detractor,2,Slightly dissatisfied,Uncertain,56949,10183
R_bxPPFNzVH7UujYN,Lily,Detractor,5,Neither satisfied nor dissatisfied,No,37860,10184
R_9t3CRfRS7VuhfIp,Ezra,Promoter,10,Extremely dissatisfied,Yes,52437,10185
R_9uBOtpYkEV65irb,Zoey,Detractor,0,Extremely dissatisfied,Yes,52834,10186
R_d4pVKdFXaoOeRmt,Christopher,Promoter,9,Extremely dissatisfied,Yes,34311,10187
R_9uDUgDRWd5mpSwB,Dylan,Detractor,5,Extremely dissatisfied,Yes,97580,10188
R_9tsbRvljv1FRL0N,Emilia,Detractor,6,Extremely dissatisfied,Yes,91545,10189
R_0fyZxh3E6ctrtzf,Joshua,Passive,7,Neither satisfied nor dissatisfied,Uncertain,54771,10190
R_2boRxFFQbdduVtb,David,Detractor,4,Extremely dissatisfied,Yes,97355,10191
R_0ppqoCKPNx0dWQZ,Aubrey,Promoter,9,Slightly satisfied,Uncertain,88779,10192
R_dpdHhAT9gDLqnMV,Ezra,Detractor,0,Extremely satisfied,Uncertain,37654,10193
R_eo39d9feDJ0aSON,Levi,Detractor,6,Extremely dissatisfied,Uncertain,77104,10194
R_2csnrv8DHB3GLfn,Addison,Detractor,2,Slightly dissatisfied,Yes,28513,10195
R_6yvbWL0TIq0XlWJ,Bell,Detractor,0,Neither satisfied nor dissatisfied,No,81979,10196
R_37PopikVgykUzI1,Ellie,Detractor,6,Slightly satisfied,No,28232,10197
R_2hjebE50ohjsjPv,Julian,Passive,8,Neither satisfied nor dissatisfied,Uncertain,63604,10198
R_dgPABILvr2PoSvH,Hazel,Detractor,6,Extremely satisfied,No,84561,10199
R_es4jTj5xTkEnHjD,Emilia,Passive,7,Slightly satisfied,No,29821,10200
R_4Og1bkzr2dtLOqF,Nora,Detractor,4,Extremely dissatisfied,Uncertain,34570,10201
R_3JBbzy4FTk44lQF,David,Promoter,9,Neither satisfied nor dissatisfied,Yes,75299,10202
R_1YXdT2P4St3J3lH,Bell,Detractor,6,Extremely satisfied,No,67722,10203
R_9zQLj5he70YMhvL,Isaac,Promoter,10,Slightly satisfied,Yes,32863,10204
R_08JN0vkmNAQICfr,Bell,Passive,8,Extremely dissatisfied,Uncertain,31654,10205
R_2rGKZ5kzT00Gp2B,Nora,Detractor,2,Extremely dissatisfied,Yes,98018,10206
R_5cAmk6wGr0v3vk9,Grace,Detractor,2,Neither satisfied nor dissatisfied,Uncertain,56573,10207
R_di0v7n6DgOz6Nkp,Grace,Promoter,9,Slightly satisfied,No,64171,10208
R_2otpjwyuKTwY1hj,Nora,Detractor,0,Neither satisfied nor dissatisfied,No,43285,10209
R_9ohZCC6C6FLs0Dj,Wyatt,Promoter,9,Slightly satisfied,Yes,30319,10210
R_bxySVy3vG4Nbr1j,Grayson,Detractor,5,Extremely satisfied,Uncertain,30626,10211
R_3e2PGanXSyivrnf,Luke,Detractor,6,Neither satisfied nor dissatisfied,Uncertain,74075,10212
R_8wvAgzH6sO66jjv,John,Detractor,5,Slightly dissatisfied,No,33192,10213
R_9sDiNvPXMx8gEZL,Lillian,Passive,8,Slightly dissatisfied,Yes,65759,10214
R_dj4VPyfG0OD1SJf,Aurora,Detractor,4,Slightly dissatisfied,Uncertain,37121,10215
R_1HbLQYDxpd8J0Ed,Violet,Passive,7,Extremely dissatisfied,Uncertain,42438,10216
R_cHiCcClRsPlcEWV,Everly,Detractor,6,Neither satisfied nor dissatisfied,Uncertain,17887,10217
R_02pwRESRe2oLfox,Julian,Promoter,9,Extremely dissatisfied,Uncertain,33005,10218
R_6X8FrNfiSWtJ98V,Joshua,Promoter,9,Slightly dissatisfied,No,22581,10219
R_d6ghu5FxIyaxWxT,Zoey,Passive,7,Extremely satisfied,Yes,54278,10220
R_ewDDWqOjgj9Rfnv,Zoe,Detractor,2,Slightly satisfied,No,40002,10221
R_1Tu5Z5yeZoiT5pH,Dylan,Passive,7,Slightly dissatisfied,Yes,88426,10222
R_eJ42ybwFKbPXtTT,Hudson,Detractor,4,Extremely satisfied,No,95477,10223
R_09DcWBqIM9Aia0Z,Dylan,Promoter,9,Slightly satisfied,No,65526,10224
R_0cz5nEfUejr7KDP,Everly,Promoter,10,Neither satisfied nor dissatisfied,Uncertain,40527,10225
R_aWex3j7FagsYFa5,Mateo,Detractor,5,Slightly satisfied,Yes,23740,10226
R_56dSxqjHpR7w6ON,John,Detractor,6,Slightly dissatisfied,Yes,67185,10227
R_efZ186J7gns1OAt,Wyatt,Promoter,10,Extremely satisfied,Uncertain,56777,10228
R_eqXhCzy8nxGrGwB,Asher,Detractor,2,Slightly dissatisfied,No,16864,10229
R_bkjsBVP9BwmAeIl,Josiah,Promoter,10,Neither satisfied nor dissatisfied,Uncertain,60219,10230
R_d53xO59dtwEeH65,Carter,Detractor,2,Slightly dissatisfied,Yes,73198,10231
R_9oy32JEHoIGvCQt,Carter,Passive,7,Slightly dissatisfied,No,98430,10232
R_0PdAu9UmiwaYxBX,Josiah,Detractor,4,Slightly dissatisfied,Uncertain,36478,10233
R_82M85Gc7NzBtpIx,Natalie,Passive,8,Slightly dissatisfied,Uncertain,58190,10234
R_bpfbdiT4DqT9KHH,Anthony,Promoter,10,Slightly dissatisfied,No,56807,10235
R_cwmNk6EoMJ0JDTf,Natalie,Promoter,9,Slightly satisfied,No,41670,10236
R_dmy4h5v0ZmMwotf,David,Detractor,4,Extremely dissatisfied,Yes,32695,10237
R_3KpeyssRFrkoyeF,Violet,Detractor,2,Slightly dissatisfied,No,65958,10238
R_eQK2t0wNB5VNZo9,Grace,Detractor,6,Slightly satisfied,No,72650,10239
R_51Msvibvu3yzlch,John,Detractor,2,Extremely dissatisfied,Uncertain,84652,10240
R_7U8XiUQr4iSrnjT,Jayden,Detractor,6,Slightly satisfied,No,86532,10241
R_8um2gLlR1NIqqVL,Thomas,Detractor,0,Slightly dissatisfied,Yes,82375,10242
R_6ooGnY94uWw6bbf,Madison,Detractor,2,Extremely satisfied,Yes,89175,10243
R_cwiS8vi0FQyftl3,Violet,Passive,7,Slightly dissatisfied,Uncertain,10897,10244
R_4MCrvt7bRptTkNf,Asher,Promoter,9,Slightly satisfied,Yes,33104,10245
R_5zGJ6ZXP3iSVwfX,Eleanor,Detractor,2,Extremely dissatisfied,No,63151,10246
