Unique Response ID,Representative Name,"On a scale from 0-10, how likely are you to recommend this representative to a friend or colleague? - Group","On a scale from 0-10, how likely are you to recommend this representative to a friend or colleague?",How satisfied are you with the resolution to your issue?,Was your issue resolved?,Rewards member ID,Case #
R_4THOuQDJSyDiVmt,Natalie,Promoter,10,Slightly dissatisfied,No,96004,10247
R_0DKe3YQ0GenIV9j,Josiah,Promoter,9,Extremely satisfied,Uncertain,70976,10248
R_7aqK8yazu1muGVL,Theodore,Detractor,3,Neither satisfied nor dissatisfied,No,80126,10249
R_00BntoXakkQ4Yqp,Violet,Promoter,9,Slightly satisfied,No,71767,10250
R_ebP8iPfHCJmDKfj,Thomas,Detractor,0,Extremely dissatisfied,Yes,43130,10251
R_3Q7AOu2YGqtF1Sl,Isaac,Passive,8,Slightly satisfied,Yes,33407,10252
R_bwTxaHdlCKF3ksB,Violet,Detractor,5,Slightly dissatisfied,No,52501,10253
R_4GccGDlwVNI9xsh,Josiah,Passive,7,Extremely dissatisfied,Uncertain,36608,10254
R_4NSudkw0tJ9mgdf,Jaxon,Promoter,9,Extremely satisfied,No,77919,10255
R_6QBuNbt84MIUinr,Anthony,Detractor,3,Neither satisfied nor dissatisfied,Uncertain,89205,10256
R_9AJkuiaG1ets5uJ,Natalie,Passive,8,Extremely satisfied,Uncertain,86207,10257
R_9N8HRXgGBSjpvY9,Natalie,Detractor,2,Extremely dissatisfied,No,85964,10258
R_1B2ZFZumTZ9LB0F,Lily,Detractor,0,Extremely dissatisfied,Uncertain,73075,10259
R_dg53hHLgE4wtAfH,Christopher,Detractor,6,Extremely satisfied,Yes,78645,10260
R_0dLDlJ2xsOoMYUR,Stella,Promoter,9,Neither satisfied nor dissatisfied,Uncertain,16696,10261
R_78PvlG9rOc8wtTL,Thomas,Promoter,9,Extremely satisfied,No,37469,10262
R_9Y94P8tSWKBAAXH,John,Detractor,3,Slightly satisfied,Uncertain,99987,10263
R_brArV0TAuhueXdj,Aurora,Promoter,10,Extremely dissatisfied,Uncertain,30719,10264
R_6g9jjWN2TYzIPWd,Natalie,Detractor,2,Extremely satisfied,No,25944,10265
R_1AGQKBxXdPA2LI1,Bell,Detractor,4,Slightly satisfied,Yes,65802,10266
R_37pdSkNzOjjUN8N,Nora,Promoter,10,Neither satisfied nor dissatisfied,No,74767,10267
R_0qy40IKbDQBUZrD,Wyatt,Detractor,2,Extremely dissatisfied,Uncertain,90870,10268
R_3wqWqviAlXgNRQN,Stella,Detractor,3,Slightly satisfied,No,11538,10269
R_3Q9fUPh6XfEN6x7,Grayson,Detractor,4,Slightly dissatisfied,Uncertain,93267,10270
R_3QVi3BmUhGTs59z,Willow,Passive,8,Slightly dissatisfied,No,89218,10271
R_agbEXOIWupVu2Rn,Leo,Promoter,9,Extremely dissatisfied,Uncertain,15460,10272
R_bNHf7FNsyWuEunb,Hazel,Detractor,2,Slightly dissatisfied,Uncertain,25233,10273
R_ekSZHc0W94yshE1,Emilia,Detractor,5,Extremely satisfied,No,44687,10274
R_3rv91Axo3Lqq9BH,Asher,Detractor,2,Extremely dissatisfied,No,64857,10275
R_40XajSUW1vsJ8O1,Lincoln,Detractor,6,Slightly dissatisfied,No,56761,10276
R_cZmkbnNBNMRb297,Grace,Detractor,2,Neither satisfied nor dissatisfied,No,70198,10277
R_dms8Yhqf7FCkZO5,Josiah,Detractor,2,Slightly satisfied,No,70560,10278
R_eerkgAzCZq0YFBX,Stella,Detractor,4,Extremely satisfied,Uncertain,41052,10279
R_81jXN7h5NHHRKjX,Aubrey,Passive,7,Extremely dissatisfied,Yes,31003,10280
R_cu14BZeZecbYfuB,Natalie,Detractor,4,Extremely dissatisfied,Uncertain,48141,10281
R_cJhOaeVVsiooHKB,Joshua,Passive,8,Neither satisfied nor dissatisfied,Yes,70083,10282
R_2htjv44URJAYZsV,Addison,Passive,8,Neither satisfied nor dissatisfied,No,12180,10283
R_bfGDJkglAHByQEl,Zoe,Passive,7,Slightly dissatisfied,Yes,71850,10284
R_8wsoJFCRQdvEHMp,Leah,Detractor,5,Extremely satisfied,No,34370,10285
R_4ZK7Df0yYwsC0Pb,Ellie,Passive,7,Slightly satisfied,Uncertain,68400,10286
R_4YgkRfJFr4nUsp7,Julian,Detractor,5,Extremely dissatisfied,Uncertain,95536,10287
R_0JPkhPh8bEDbm3b,Thomas,Promoter,9,Extremely dissatisfied,Yes,67131,10288
R_eVRo43LtjmVmUjr,Levi,Detractor,5,Neither satisfied nor dissatisfied,Uncertain,74487,10289
R_1FIw2ok0bQC0Aw5,Riley,Passive,8,Neither satisfied nor dissatisfied,Uncertain,67003,10290
R_5zhIBAeyQjhUIKN,Josiah,Detractor,6,Slightly satisfied,Uncertain,67722,10291
R_3rB61oqcnVEF1Bz,Thomas,Detractor,3,Slightly satisfied,Uncertain,23029,10292
R_djy0EeygnKpRw6p,Hudson,Passive,7,Slightly satisfied,Uncertain,11646,10293
R_eu1r8JDHKZNQaNv,Wyatt,Detractor,1,Slightly dissatisfied,No,95914,10294
R_8e5BTMppCpipbeJ,Aurora,Passive,7,Slightly satisfied,Yes,72002,10295
R_0vcgYy9MZFrxLqB,Leo,Promoter,9,Extremely satisfied,No,42614,10296
R_b8VVmeaehOH8Vvv,Aubrey,Detractor,5,Extremely dissatisfied,No,84744,10297
R_etU246zN6pfN6Dz,Luke,Promoter,9,Extremely dissatisfied,Yes,70262,10298
R_3ftNhuihHxBH5nT,Josiah,Detractor,3,Slightly dissatisfied,Yes,81906,10299
R_6rsLQiN6CZVmgF7,Lucy,Detractor,0,Extremely satisfied,Yes,31901,10300
R_0j2xUvQW1Jf2YLz,Wyatt,Promoter,10,Extremely satisfied,No,32840,10301
R_5ABD8muhjVeS1M1,John,Passive,7,Extremely satisfied,No,41626,10302
R_9MlprJFopdAFsZD,Isaac,Detractor,0,Slightly dissatisfied,Yes,76119,10303
R_6RL5LstrTTIuxlH,Everly,Detractor,1,Slightly satisfied,Uncertain,97200,10304
R_4SGK0DGjcuJqsAd,Ezra,Passive,7,Slightly satisfied,Uncertain,62060,10305
R_bOv5oKJse88FccB,Theodore,Passive,7,Slightly satisfied,No,28782,10306
R_0cV7zyoR5HGQKEJ,Julian,Passive,7,Slightly satisfied,No,52179,10307
R_bjee6bPeKjzUwIZ,Zoey,Detractor,6,Neither satisfied nor dissatisfied,Uncertain,48626,10308
R_0Ta5oivKZJY7Ywt,Julian,Detractor,3,Extremely dissatisfied,Uncertain,82444,10309
R_6EAkSotJ2WkmcyV,Violet,Detractor,2,Extremely dissatisfied,Uncertain,29262,10310
R_eR2uBFqJZJfuSZT,Bell,Detractor,2,Extremely satisfied,Yes,79728,10311
R_aYpi3xkpGZ52STH,Natalie,Promoter,10,Slightly satisfied,Uncertain,88678,10312
R_00aJWUXNSbL3cON,Ellie,Detractor,6,Extremely satisfied,No,15173,10313
R_42ZakFHc8BVNHwx,Lillian,Promoter,10,Neither satisfied nor dissatisfied,Uncertain,72458,10314
R_d4r8DKui3Jqi4vP,Nora,Passive,8,Slightly dissatisfied,No,70608,10315
R_3xTNwY5lb6O2f0F,Lincoln,Detractor,6,Extremely dissatisfied,Uncertain,21879,10316
R_37p7Pf4KVbtTSK1,Eleanor,Promoter,10,Extremely dissatisfied,Uncertain,74876,10317
R_3Vrlbxktn0C4Rvv,Wyatt,Passive,7,Slightly satisfied,No,12850,10318
R_bEP5zs2tjXy9U1v,Aurora,Detractor,5,Extremely dissatisfied,No,43688,10319
R_b8dsqDbJvemw9Jb,Thomas,Passive,8,Slightly satisfied,Uncertain,51238,10320
R_eb5rfWJsj1OKT7n,Lucy,Passive,8,Extremely satisfied,Uncertain,92431,10321
R_9KS63ELpdWzopeZ,Julian,Detractor,2,Slightly dissatisfied,No,91797,10322
R_8rgKET5nsZz6MdL,David,Passive,8,Extremely satisfied,Yes,45498,10323
R_1TjDkxvQ3NWiWm9,Isaac,Passive,8,Slightly satisfied,Yes,83752,10324
R_djqL2gh8Hifckzr,Addison,Passive,7,Extremely dissatisfied,Uncertain,44248,10325
R_bf7BRU6VDLNt95j,Natalie,Detractor,3,Extremely satisfied,Uncertain,46382,10326
R_9Ys3Prg4m4n3m5f,Levi,Detractor,1,Neither satisfied nor dissatisfied,No,39226,10327
R_dpAkAW75QNa3paZ,Willow,Detractor,3,Slightly dissatisfied,No,10926,10328
R_dgU4TJNEOdKkcYt,Bell,Detractor,3,Slightly dissatisfied,Yes,15576,10329
R_8wsBrzkT9I1gvaZ,Theodore,Detractor,5,Slightly satisfied,Yes,44792,10330
R_1YNooE3zhhlA7Fr,Aubrey,Promoter,10,Slightly satisfied,Uncertain,58558,10331
R_8AJkjhaZ4hu2j65,Asher,Promoter,10,Extremely dissatisfied,Yes,98322,10332
R_0OsmiuGlFDgEtsp,Dylan,Detractor,5,Slightly satisfied,No,87275,10333
R_8Jolzc7dtXbbhVH,Levi,Passive,7,Slightly dissatisfied,No,92815,10334
R_3wLySGCje9VLx65,Jaxon,Promoter,9,Neither satisfied nor dissatisfied,Uncertain,56612,10335
R_8kxeyvhERBXepYF,Leah,Passive,7,Slightly dissatisfied,No,32960,10336
R_8B3x5p1WFZwpuM5,Jaxon,Detractor,6,Slightly satisfied,No,59416,10337
R_0dlicGKpM8yLJl3,Ellie,Passive,8,Slightly satisfied,No,89170,10338
R_bvilc5edbhFdXUN,Audrey,Detractor,3,Slightly satisfied,Yes,39511,10339
R_40LRU1r8ZZmrNkN,Gabriel,Passive,8,Slightly dissatisfied,Uncertain,83709,10340
R_bkjcNoMZoCIWDvD,Mateo,Detractor,1,Slightly dissatisfied,Uncertain,58278,10341
R_b8e8AdG9hmZT77f,Violet,Detractor,0,Extremely dissatisfied,Yes,27362,10342
R_eCzx9GOqf0hUkaF,Wyatt,Detractor,1,Extremely dissatisfied,Uncertain,37003,10343
R_dmavFYnHAGXrkmV,Nora,Detractor,0,Extremely satisfied,Uncertain,60091,10344
R_7QCS6lgaIC96Fnv,Julian,Detractor,5,Slightly satisfied,No,90045,10345
R_2udblBsnvz3fSTP,Ezra,Detractor,2,Neither satisfied nor dissatisfied,No,91877,10346
R_2nRBerZmWg7H5dz,Lucy,Detractor,5,Extremely satisfied,No,68829,10347
R_3NSaJhfQMTgzomV,Theodore,Detractor,5,Neither satisfied nor dissatisfied,No,60373,10348
R_86Z3XbZROwjE5Jb,Natalie,Detractor,1,Slightly satisfied,Uncertain,16003,10349
R_eQyiyEMxHASDXh3,Theodore,Detractor,5,Slightly dissatisfied,Yes,51722,10350
R_e2kN7lVHZLsUHXv,Leo,Detractor,6,Slightly satisfied,No,53676,10351
R_bwlHHOx1CTGEUU5,Carter,Detractor,1,Neither satisfied nor dissatisfied,Uncertain,18223,10352
R_aaAWMUcF4G0aOtT,Hannah,Detractor,6,Extremely dissatisfied,Uncertain,48115,10353
R_4Yqqr1KOsZqj0ax,David,Detractor,6,Extremely satisfied,Uncertain,25077,10354
R_1TBFIAG07P0pkt7,Anthony,Promoter,9,Extremely dissatisfied,No,51599,10355
R_efFkCRM1dMsrGM5,Anthony,Detractor,3,Extremely dissatisfied,No,23886,10356
R_bfj9Q2TSwbhbzkV,Joshua,Passive,8,Extremely satisfied,Yes,66371,10357
R_eG2B4aqXPrbWZ13,Victoria,Passive,7,Slightly satisfied,Yes,89094,10358
R_7OJN7iJuS21l5Gd,Lincoln,Detractor,2,Slightly satisfied,Uncertain,12092,10359
R_bDW52GPkZszUFpj,Lucy,Promoter,10,Slightly satisfied,No,53238,10360
R_bjtKYXqyjbeEY05,Hudson,Detractor,0,Extremely satisfied,Yes,34985,10361
R_0vsf1Qc7UL37HMh,Hudson,Detractor,0,Slightly dissatisfied,Uncertain,29519,10362
R_0pIyRDhUlKS9tJ3,Jayden,Promoter,9,Slightly dissatisfied,Yes,23312,10363
R_3KkZxLcEs7mLGdv,Thomas,Detractor,2,Neither satisfied nor dissatisfied,Uncertain,48542,10364
R_4PBePdoBptqgAcZ,Lucy,Promoter,10,Extremely satisfied,Yes,54382,10365
R_79t6efKePs2v0zj,Lucy,Detractor,6,Extremely satisfied,Uncertain,55021,10366
R_9FCeJ2kTHnjusN7,Grayson,Detractor,2,Slightly satisfied,Yes,14488,10367
R_bdAevj7vUMcqKAl,Stella,Passive,7,Slightly satisfied,No,63115,10368
R_4VLhYfzL10WLn2R,Ellie,Detractor,1,Slightly satisfied,No,27919,10369
R_cYGqJavmXV5H7WR,Lillian,Detractor,6,Slightly satisfied,Yes,72897,10370
R_eG11HmNfpqJUrNr,Riley,Detractor,6,Neither satisfied nor dissatisfied,Yes,80135,10371
R_bwTmYUQJSwwfxEV,Ellie,Detractor,3,Extremely dissatisfied,Uncertain,26113,10372
R_eJA21VR5FnTschT,Anthony,Detractor,1,Extremely satisfied,Yes,53369,10373
R_eYjwmHbplmFzHMN,Victoria,Passive,8,Slightly satisfied,Uncertain,89848,10374
R_3fIhPiLfWbHUwRf,Luke,Detractor,4,Extremely dissatisfied,Yes,68289,10375
R_d4seeYXu1VjLYOh,Everly,Detractor,5,Extremely dissatisfied,No,40938,10376
R_2tXg8XpgZyoCptX,Everly,Passive,7,Neither satisfied nor dissatisfied,No,58179,10377
R_6staesKONeyhHSt,Mateo,Detractor,2,Slightly dissatisfied,Uncertain,58187,10378
R_3kpKAKbpa9xmWjP,Grayson,Detractor,5,Extremely dissatisfied,Yes,23651,10379
R_3ZSjnoYiX1uBwl7,Josiah,Detractor,6,Extremely dissatisfied,Yes,62852,10380
R_56ziaYpznP0nTVz,Leah,Passive,8,Slightly dissatisfied,No,47133,10381
R_5othz0GxLc417IV,Ezra,Passive,7,Slightly satisfied,No,77734,10382
R_cZOs7JjZ8J9zOAt,Grace,Detractor,5,Neither satisfied nor dissatisfied,No,64026,10383
R_8BRHohV92KDCQDP,Joshua,Detractor,2,Slightly satisfied,Uncertain,24978,10384
R_5dNtypKadzp8tyl,Gabriel,Detractor,1,Extremely dissatisfied,Uncertain,10280,10385
R_29Lw0uJ0H5ZAiIR,Aubrey,Passive,7,Slightly satisfied,No,56617,10386
R_6qZvWFZ3BUYeLhb,Lucy,Promoter,10,Slightly dissatisfied,Yes,62830,10387
R_6LJWNcgHkCeGjm5,Jaxon,Detractor,2,Extremely dissatisfied,Uncertain,12067,10388
R_3aU3FvgJEBHWH6l,Lily,Passive,7,Extremely satisfied,Yes,42425,10389
R_cvjikrDIIeD41Tf,Josiah,Promoter,10,Slightly dissatisfied,Yes,91640,10390
R_3eAiXtTLPm4o1kp,Andrew,Detractor,4,Extremely satisfied,No,90124,10391
R_0xLdTmIS6s5aJWR,Isaac,Detractor,4,Neither satisfied nor dissatisfied,Yes,25043,10392
R_0kYr1XWuYgZ9n4p,Luke,Detractor,5,Slightly dissatisfied,Yes,80657,10393
R_3U84skKzMzNfrEx,Zoe,Detractor,4,Neither satisfied nor dissatisfied,No,81095,10394
R_8HQoUh9tqq5kcdL,Joshua,Detractor,5,Extremely dissatisfied,No,95821,10395
R_4VMz2cW8Yua1MCF,Addison,Promoter,10,Slightly dissatisfied,Yes,24077,10396
R_9ns4WhLSQV2yKdD,Madison,Detractor,0,Neither satisfied nor dissatisfied,Yes,83869,10397
R_4Pl1sy7JUYh8TCl,Joshua,Detractor,1,Extremely satisfied,Yes,21352,10398
R_2lSM2Nt5W7QALkx,Andrew,Detractor,5,Slightly satisfied,No,13650,10399
R_e5kMMjwU0IU0qPP,Levi,Detractor,6,Extremely satisfied,No,80801,10400
R_8BXI8frDj7KRfh3,Lucy,Detractor,2,Slightly dissatisfied,No,43436,10401
R_cvXTQOLTXK41GPX,John,Passive,8,Slightly dissatisfied,No,44624,10402
R_dbwGuoTV5MCtupT,Andrew,Passive,7,Extremely satisfied,No,24024,10403
R_3aZU2Hj6zDkLTqB,Grayson,Detractor,2,Slightly satisfied,No,37316,10404
R_25KMcI4jBCbbAFv,Levi,Detractor,4,Slightly dissatisfied,No,91905,10405
R_6QXkJIzf1HQy817,Jayden,Detractor,2,Extremely dissatisfied,Yes,70213,10406
R_41HUov9PGuC08hn,Thomas,Detractor,4,Slightly satisfied,No,89278,10407
R_1YRswK1eBOUUwMl,Josiah,Passive,8,Neither satisfied nor dissatisfied,Yes,19124,10408
R_7R2Qi75rcFXyQWp,Hazel,Detractor,5,Slightly dissatisfied,No,92796,10409
R_2tWeYx8FiqqSZX7,Dylan,Detractor,0,Neither satisfied nor dissatisfied,Yes,62738,10410
R_etEkGAdUkakWvdz,Riley,Detractor,3,Slightly dissatisfied,Uncertain,69942,10411
R_ebyZahMPEw6Vajr,Nora,Promoter,9,Neither satisfied nor dissatisfied,No,62726,10412
R_3Q2M9VSGYvMxJOd,Eleanor,Detractor,6,Neither satisfied nor dissatisfied,Uncertain,78916,10413
R_cx0T3d6Q7Rq6wol,Theodore,Detractor,5,Slightly dissatisfied,No,45396,10414
R_263TALMLPslyuah,Levi,Promoter,10,Slightly dissatisfied,No,26863,10415
R_2a9y5HZdLBIQL1X,Mateo,Passive,8,Slightly dissatisfied,Yes,80544,10416
R_baakvdrheU0Dqfz,Willow,Detractor,4,Slightly satisfied,No,35520,10417
R_cAdWpOjXapYa6Hz,Gabriel,Detractor,5,Slightly dissatisfied,Yes,70649,10418
R_6RSpwAqknJHio9D,Hazel,Detractor,6,Extremely dissatisfied,Yes,50598,10419
R_bO9TweDqhghsjSB,Ezra,Detractor,1,Slightly satisfied,Yes,41032,10420
R_8x0muZFjOUqwD77,Leah,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,84648,10421
R_8xd9p19slSDZQtn,Andrew,Promoter,10,Slightly dissatisfied,No,98546,10422
R_0kVmdl2bPB5mYUR,Aubrey,Detractor,5,Neither satisfied nor dissatisfied,Yes,97375,10423
R_9npqPaHneIyGcqF,Asher,Passive,7,Slightly satisfied,Uncertain,76757,10424
R_e2kkpQ7nrQtyIfz,Zoey,Detractor,1,Extremely satisfied,No,95983,10425
R_9S6PLeabe4Bunbf,Grayson,Detractor,6,Slightly dissatisfied,Yes,37652,10426
R_bmHgFlB6ZenxHP7,Willow,Promoter,10,Extremely dissatisfied,No,38443,10427
R_02lo9wJj0x9Pemh,Andrew,Detractor,5,Neither satisfied nor dissatisfied,Uncertain,55577,10428
R_bxX82jfBRzp68xn,Lillian,Detractor,4,Extremely satisfied,Yes,63287,10429
R_9t7A9emawzKqOuV,Ellie,Detractor,0,Slightly satisfied,Yes,52786,10430
R_7VYWxboPqVkciNf,Nora,Detractor,3,Slightly dissatisfied,Yes,66531,10431
R_ac4LxzzyhsU7meN,Levi,Promoter,10,Slightly dissatisfied,Yes,91564,10432
R_e8uJL6I1P6AtsI5,Hazel,Detractor,5,Extremely satisfied,No,44168,10433
R_bIzOdkdrzxrdyND,Aubrey,Detractor,2,Extremely dissatisfied,Uncertain,70269,10434
R_9ymBaMv7E10S9Wl,Lily,Promoter,9,Extremely dissatisfied,Yes,16300,10435
R_0SA8hs7MXANvhdP,Lucy,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,62360,10436
R_3k1WuJ3ZRKwzmzX,Willow,Detractor,4,Slightly satisfied,No,33527,10437
R_eXV73Vykzhxr28B,Lincoln,Detractor,4,Extremely satisfied,No,23002,10438
R_3Uw8O8ntUpkFe9T,Grayson,Passive,7,Slightly dissatisfied,No,98554,10439
R_1O1RuT02G7PCMLP,Bell,Detractor,2,Extremely satisfied,No,63939,10440
R_7VhusqcrjyXYprT,Leo,Passive,8,Extremely satisfied,Yes,65221,10441
R_6FiQfrmIgDIACnb,Dylan,Detractor,5,Extremely satisfied,Uncertain,79176,10442
R_b2fCX1Bg5CiXSyp,Andrew,Detractor,0,Neither satisfied nor dissatisfied,No,82900,10443
R_bP1vhlBdqYDJnp3,Violet,Promoter,10,Extremely dissatisfied,Yes,18233,10444
R_bIvKC1X3NFpOywd,Hannah,Promoter,9,Slightly satisfied,Yes,96673,10445
R_9AGxvO3o7BtMZHD,Aurora,Passive,8,Slightly dissatisfied,No,97432,10446
R_ab2rPVTbZAwoyAR,Asher,Promoter,10,Extremely dissatisfied,No,53775,10447
R_cLOyjWXKYGQQ6Db,Bell,Detractor,1,Neither satisfied nor dissatisfied,No,22866,10448
R_06YrINrRpJqtnbn,Aubrey,Detractor,6,Extremely satisfied,Yes,82730,10449
R_3t51xtKuE5uUwwR,Willow,Passive,8,Slightly satisfied,No,20331,10450
R_866NOLM5u9sBDN3,Leah,Detractor,5,Slightly satisfied,Yes,42431,10451
R_8kWbSamfxvZU9IV,Dylan,Passive,7,Extremely satisfied,Uncertain,15656,10452
R_0AsKfpn8PghBuV7,Carter,Detractor,6,Slightly dissatisfied,No,60659,10453
R_0VxAZeL65Eh41Ip,Josiah,Detractor,3,Slightly satisfied,Yes,21335,10454
R_eF1mm1teXBBpQep,Eleanor,Detractor,5,Neither satisfied nor dissatisfied,Yes,33832,10455
R_018FJ2kxmZXKWqx,Jaxon,Passive,8,Extremely dissatisfied,Uncertain,45834,10456
R_4VdLArmgBrKZd7T,Aurora,Detractor,6,Extremely satisfied,Uncertain,32603,10457
R_cwHdkYLkWMqvNgF,Josiah,Detractor,6,Extremely dissatisfied,Uncertain,72216,10458
R_0qEBbiCPbMvqy0d,Carter,Passive,8,Extremely dissatisfied,Uncertain,21402,10459
R_5ss5Wv1ngCwB7tX,Bell,Detractor,6,Slightly satisfied,No,15425,10460
R_1NZ8GP3D05Xyn0p,Hazel,Promoter,9,Slightly dissatisfied,Yes,54162,10461
R_b3oXiPL0cK7TTJX,Grace,Promoter,10,Slightly dissatisfied,Uncertain,89805,10462
R_etk4HVL12esvif3,Eleanor,Detractor,4,Neither satisfied nor dissatisfied,Uncertain,90389,10463
R_bKqa8avjLH3hbKt,Thomas,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,27111,10464
R_39kTPcNNGu4Hrql,Lily,Passive,7,Slightly dissatisfied,Yes,12047,10465
R_eQZEbXPskIMhUpf,Leo,Detractor,1,Slightly satisfied,No,79807,10466
R_cuujRQLERws07MV,Willow,Detractor,6,Slightly satisfied,Yes,83179,10467
R_8iRJUgi2HiX52Rf,Audrey,Detractor,4,Neither satisfied nor dissatisfied,Yes,72298,10468
R_8IhEHlFsHJWuYtL,Leo,Detractor,1,Extremely dissatisfied,Yes,98703,10469
R_5uJlaiT8gDzgkZf,Josiah,Promoter,9,Extremely dissatisfied,Yes,30830,10470
R_2uHSGfFeGdbs4WF,Riley,Passive,8,Extremely dissatisfied,Uncertain,94685,10471
R_81zGYFvQD0UWoFT,Zoe,Detractor,1,Neither satisfied nor dissatisfied,Uncertain,62766,10472
R_8DoReS2VoPRz0rj,Aubrey,Promoter,10,Slightly dissatisfied,Uncertain,44376,10473
R_a30hCufs8xDeu6F,Willow,Detractor,0,Extremely dissatisfied,Uncertain,35263,10474
R_23HRLPzdTPxUeY5,Jaxon,Detractor,6,Neither satisfied nor dissatisfied,Yes,87955,10475
R_cTLbVJ0SN5gMF4V,John,Detractor,2,Extremely satisfied,No,23678,10476
R_6AtS0GEYb1pNkJn,Lucy,Passive,8,Extremely satisfied,Yes,61307,10477
R_3jAHE5N7ndBAVWR,Aurora,Detractor,2,Extremely satisfied,No,17700,10478
R_byJUyiSI7rhD5zL,Jayden,Promoter,9,Slightly dissatisfied,No,98141,10479
R_a4z3zFMIzUpsFRb,Stella,Detractor,1,Slightly dissatisfied,No,10956,10480
R_07zfadu43vNbftr,Victoria,Promoter,10,Neither satisfied nor dissatisfied,Uncertain,34160,10481
R_8jn7q6uvXw0qVQ9,Julian,Passive,8,Neither satisfied nor dissatisfied,Uncertain,17317,10482
R_0Asgu3XdEyA4Dch,Hudson,Detractor,6,Slightly satisfied,Uncertain,26530,10483
R_0cWT1uzSqJC1DcV,Julian,Promoter,9,Slightly dissatisfied,Uncertain,16184,10484
R_2rQXUOisdiHd9mR,Leah,Detractor,3,Extremely dissatisfied,Uncertain,34277,10485
R_6A4vLlCUr2FGyrz,Josiah,Passive,7,Slightly satisfied,Uncertain,93564,10486
R_bQuJ3O5uHp1XMm9,Anthony,Detractor,5,Neither satisfied nor dissatisfied,Uncertain,72731,10487
R_bEgqfbtrKDeYMcJ,Hudson,Detractor,3,Slightly satisfied,Uncertain,48026,10488
R_9mcwUNHDMXQnOap,Gabriel,Detractor,6,Extremely satisfied,Uncertain,11513,10489
R_9Qy7Oj5AxA3xOlL,David,Passive,8,Slightly dissatisfied,Uncertain,51142,10490
R_8GruW5uscWeJmPb,Aubrey,Detractor,1,Extremely satisfied,No,71507,10491
R_0kWK31GrO2mBRBP,Emilia,Detractor,5,Slightly satisfied,No,43501,10492
R_e2Ldih1XWsRPke9,David,Detractor,2,Extremely satisfied,Yes,62278,10493
R_0TfgbPJmE3prSQJ,David,Passive,7,Slightly satisfied,Yes,18479,10494
R_0N7kGZPur7NbeSh,Natalie,Detractor,4,Extremely satisfied,No,24768,10495
R_9uY0rK2jlhKCphz,Grayson,Promoter,10,Extremely satisfied,No,72837,10496
R_1ObFo4WNqaWzypn,Lily,Detractor,5,Extremely dissatisfied,Uncertain,39999,10497
R_emJD8Zhq6JvO6j3,Zoe,Passive,8,Neither satisfied nor dissatisfied,No,62678,10498
